                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96628,                0.88272,                 1.1138,                0.83862,                0.72534,                0.81387,                0.62959,                0.88144,                0.70754,                 1.0221,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.94463,                0.86852,                 1.1061,                0.84558,                0.72682,                0.81767,                0.63533,                0.87557,                 0.7069,                 1.0188,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.98682,                0.92643,                 1.1243,                0.85627,                  0.723,                0.81548,                0.64077,                0.86574,                0.68974,                 1.0129,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.95646,                0.86904,                 1.0938,                0.82169,                0.74723,                0.82117,                0.64801,                0.85615,                0.66894,                 1.0071,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.99252,                0.90762,                  1.118,                0.83663,                0.75097,                 0.8246,                0.65241,                0.84437,                0.65949,                 1.0016,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90575,                0.83466,                 1.0861,                0.86605,                0.73975,                0.83614,                  0.659,                0.83658,                0.65026,                0.99855,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.96801,                0.89042,                 1.0992,                0.87022,                0.72926,                0.82333,                0.65417,                0.83472,                0.64295,                0.99649,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 0.9505,                0.84768,                 1.1107,                0.87144,                0.73586,                0.82634,                0.66215,                0.82965,                0.64249,                0.99495,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.97458,                0.86293,                 1.1413,                 0.8602,                 0.7414,                0.82897,                  0.666,                0.82358,                0.62823,                0.99062,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95386,                0.87632,                 1.0993,                0.86127,                0.74676,                0.83286,                0.67046,                0.81638,                 0.6127,                0.98619,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92268,                 0.8139,                 1.0868,                0.86376,                0.76344,                0.83566,                0.67339,                0.81185,                0.60721,                0.98225,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.91801,                0.81443,                 1.0731,                0.84682,                0.77321,                0.83591,                0.67008,                0.80691,                0.60059,                  0.977,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.95748,                0.78187,                 1.0687,                0.80497,                0.78307,                0.83911,                0.67381,                 0.8012,                 0.6027,                0.97282,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.97621,                0.85477,                 1.0865,                0.83244,                0.77581,                0.84279,                0.67286,                0.80812,                0.60043,                0.97095,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.97283,                0.84885,                 1.0823,                0.84573,                 0.7765,                0.85767,                 0.6763,                0.80319,                0.59634,                0.96915,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                 0.9414,                0.78883,                 1.0667,                0.85203,                0.78209,                0.85871,                0.67636,                0.79388,                0.59309,                0.96658,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.86901,                0.77114,                 1.0777,                0.84799,                0.77785,                0.85497,                0.68164,                0.78607,                0.58586,                0.96315,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.97466,                0.81772,                 1.0834,                0.84236,                0.79105,                0.86069,                0.68747,                0.78011,                0.58301,                0.96125,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.88896,                0.76838,                  1.046,                0.85309,                0.78542,                0.86172,                0.69079,                0.77426,                0.58065,                0.95962,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.89863,                 0.7617,                 1.0477,                0.86986,                0.76604,                0.85399,                0.68902,                0.77588,                0.58263,                0.96056,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.91837,                0.78878,                 1.0704,                0.87121,                0.76857,                0.85419,                0.69048,                0.76943,                 0.5755,                0.95861,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.90657,                0.77304,                 1.0609,                0.88523,                0.76174,                0.85563,                0.68908,                0.76322,                0.56339,                0.95534,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.88095,                0.76221,                 1.0592,                0.88582,                0.76553,                0.86641,                0.69535,                0.75993,                0.55208,                0.95295,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.87773,                0.76879,                 1.0813,                0.80877,                0.83555,                 0.8733,                0.69687,                0.75764,                0.54462,                0.95172,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.87153,                0.73108,                 1.0483,                0.82674,                0.82266,                 0.8738,                0.69873,                0.75578,                0.54107,                0.94899,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.97723,                0.78507,                 1.0666,                0.81568,                0.84039,                0.87423,                0.69713,                0.75559,                 0.5397,                0.94742,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.90932,                0.76832,                 1.0706,                0.83739,                0.81822,                0.87022,                0.70295,                0.75408,                0.54158,                0.94529,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.88187,                0.75256,                  1.042,                0.88457,                0.77456,                0.86192,                0.70277,                0.75087,                0.53801,                0.94345,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.91453,                0.80194,                 1.0893,                0.86359,                0.79824,                0.86013,                0.70366,                0.74406,                0.53479,                 0.9419,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.88677,                0.74294,                 1.0485,                0.87019,                0.79221,                0.87466,                0.70805,                0.74162,                0.53264,                0.94021,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.95975,                0.76756,                  1.083,                0.88187,                0.79404,                0.87263,                0.71147,                0.73791,                0.52807,                0.93786,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.87024,                0.73146,                 1.0431,                0.88274,                 0.7911,                0.87347,                0.71338,                0.72993,                0.52395,                0.93389,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.88132,                0.72112,                 1.0366,                0.85389,                0.80164,                0.88187,                0.71579,                0.72357,                0.52082,                0.92959,              4.478e-05,              4.478e-05,              4.478e-05
