                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0925,                 1.3339,                 1.1885,                0.83768,                0.68711,                 0.7916,                 0.6213,                0.88137,                0.78819,                 1.0171,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.0576,                 1.1767,                 1.1786,                0.83223,                0.71436,                0.80283,                0.63084,                0.86929,                0.74541,                 1.0105,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.0236,                 1.0121,                 1.1199,                0.86244,                0.71261,                0.80451,                0.63503,                0.85733,                0.71797,                 1.0053,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 0.9643,                0.91255,                 1.1056,                0.87086,                0.71974,                0.81646,                0.64406,                0.85085,                0.70382,                  1.005,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                0.95313,                0.91683,                 1.0906,                0.80092,                0.76968,                0.82122,                0.65035,                0.83909,                0.69692,                 1.0024,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.0366,                 0.9771,                 1.1206,                0.80529,                0.76742,                0.83089,                 0.6536,                0.83989,                0.68392,                 1.0026,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                0.91345,                0.86501,                 1.0934,                0.83907,                0.74607,                0.83473,                0.66123,                0.83879,                0.67123,                0.99952,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                0.93144,                0.88185,                 1.0795,                0.84511,                0.74606,                 0.8445,                0.67635,                0.83465,                0.65236,                0.99127,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 0.9466,                0.87025,                 1.0859,                0.87977,                0.72382,                0.84574,                0.67972,                0.83369,                0.64416,                0.98802,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 0.9732,                0.85845,                 1.0882,                0.86999,                 0.7322,                0.84585,                0.67691,                0.83387,                0.63893,                0.98549,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                0.91014,                0.81709,                 1.0619,                0.82704,                0.76074,                0.84944,                0.67684,                 0.8256,                0.62787,                0.98216,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                0.93315,                0.82347,                 1.0949,                0.81752,                0.79506,                0.85099,                0.67648,                0.82775,                0.61482,                 0.9822,             0.00010074,             0.00010074,             0.00010074
                     13,                0.92246,                 0.8346,                  1.072,                0.81257,                0.79563,                 0.8493,                 0.6786,                0.82512,                0.60897,                0.98069,             0.00010486,             0.00010486,             0.00010486
                     14,                 0.9219,                0.79651,                 1.0811,                0.86989,                0.74477,                0.85785,                0.67517,                0.81827,                0.60877,                0.97712,             0.00010486,             0.00010486,             0.00010486
                     15,                 0.9042,                0.78789,                 1.0674,                0.82374,                0.77677,                0.85849,                0.68419,                 0.8122,                0.60575,                0.97305,             0.00010368,             0.00010368,             0.00010368
                     16,                0.96097,                 0.8091,                 1.0782,                0.79872,                0.81243,                0.86507,                0.68617,                0.80984,                0.59936,                0.96852,             0.00010251,             0.00010251,             0.00010251
                     17,                0.86382,                0.77891,                 1.0416,                0.86834,                0.78035,                0.86682,                0.69265,                0.80056,                0.59199,                0.96482,             0.00010133,             0.00010133,             0.00010133
                     18,                0.89461,                0.78369,                 1.0559,                0.88052,                 0.7619,                0.86493,                0.69324,                 0.7917,                0.58247,                0.96097,             0.00010015,             0.00010015,             0.00010015
                     19,                0.88396,                0.78172,                 1.0689,                0.89634,                0.76662,                0.86762,                0.69998,                  0.786,                 0.5783,                0.95951,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.87722,                0.76503,                 1.0466,                0.85339,                0.78279,                0.87016,                0.70815,                0.77732,                0.57044,                0.95627,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                0.88359,                0.75194,                   1.06,                0.86087,                0.79413,                0.87434,                0.71009,                0.76886,                 0.5646,                0.95283,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                0.89406,                0.78572,                 1.0604,                0.85113,                0.80018,                0.87003,                0.71068,                0.76504,                0.56144,                0.95034,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.92341,                0.78177,                 1.0533,                0.85206,                0.80043,                0.87146,                0.70979,                0.76433,                0.55679,                0.94908,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.88809,                0.77571,                 1.0421,                0.83949,                 0.8133,                0.87373,                0.71088,                0.76363,                 0.5603,                0.94955,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.85327,                0.75353,                 1.0514,                0.85501,                0.80478,                0.87404,                0.70927,                0.76668,                0.56408,                0.95097,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 0.8744,                0.75321,                 1.0595,                0.86143,                0.81333,                0.87929,                0.71126,                  0.771,                0.55955,                0.95024,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.88708,                 0.7311,                 1.0429,                0.84819,                0.82051,                0.87855,                0.71458,                0.77109,                 0.5533,                0.94799,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.89575,                0.76557,                 1.0604,                0.84363,                0.82281,                0.87956,                0.71991,                0.76676,                0.54612,                 0.9468,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.85323,                0.71941,                 1.0405,                0.82643,                0.83657,                0.88051,                 0.7236,                0.76052,                0.54193,                0.94587,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.87691,                0.74178,                 1.0453,                0.82399,                0.83734,                0.87934,                0.72389,                0.76005,                0.54409,                0.94498,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.83432,                0.71083,                 1.0416,                0.80806,                0.85426,                0.88103,                0.72648,                0.75723,                0.54556,                0.94323,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.83189,                0.71612,                 1.0341,                0.81692,                0.85357,                0.88269,                0.72546,                0.75062,                0.54009,                0.93975,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                0.92123,                0.76441,                  1.051,                0.84191,                0.84208,                0.88491,                0.72748,                0.74447,                0.53581,                0.93563,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.87245,                0.72752,                 1.0369,                0.86242,                 0.8346,                0.88898,                0.73252,                0.74122,                0.53431,                 0.9341,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.86667,                0.74566,                 1.0504,                0.88128,                0.81884,                 0.8874,                0.73548,                0.73663,                0.53455,                0.93315,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.82687,                0.72125,                 1.0426,                0.86698,                0.82884,                0.88948,                0.73528,                0.73234,                 0.5307,                0.93201,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.80829,                0.69153,                 1.0259,                0.90965,                0.79692,                0.89128,                0.73729,                0.72766,                0.52611,                0.93065,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.83588,                0.70933,                 1.0492,                0.90474,                0.81306,                0.89697,                0.73932,                0.72436,                0.51985,                0.92924,             7.6588e-05,             7.6588e-05,             7.6588e-05
