                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.85052,                0.70989,                 1.0246,                0.91055,                0.81329,                0.89261,                0.74073,                0.72476,                0.51822,                0.92273,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.85483,                0.71888,                 1.0404,                0.90476,                0.81665,                  0.894,                0.74294,                 0.7217,                0.51958,                0.92118,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.81179,                0.69926,                 1.0264,                0.91578,                0.81525,                0.89526,                0.74324,                0.71829,                0.52056,                0.92005,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.78702,                0.67621,                 1.0157,                0.88621,                0.82855,                0.89152,                 0.7456,                0.71412,                0.51869,                0.91904,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.81055,                0.68986,                 1.0396,                0.90417,                0.81726,                0.89162,                0.74373,                0.71331,                0.51573,                 0.9189,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.78419,                0.66832,                 1.0134,                0.92571,                0.80621,                  0.893,                0.74511,                0.71234,                0.50911,                0.91904,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 0.8291,                0.67426,                 1.0228,                0.93598,                0.81041,                0.89996,                0.74787,                0.71089,                0.50788,                0.91899,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.82456,                0.69109,                 1.0077,                0.88266,                 0.8464,                0.90145,                0.74899,                0.71132,                0.50958,                0.91975,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.79923,                0.67102,                 1.0264,                0.93365,                0.81499,                0.90327,                0.74883,                0.70885,                0.50695,                0.91913,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.84685,                0.70197,                 1.0212,                0.88693,                0.84981,                0.90542,                0.75195,                0.70339,                0.50086,                0.91685,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.82919,                0.67641,                 1.0212,                0.89947,                0.84694,                0.90447,                0.75343,                0.69717,                0.49761,                0.91443,              6.952e-05,              6.952e-05,              6.952e-05
