                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.9591,                0.88091,                 1.1181,                0.88084,                0.75312,                0.84296,                0.67938,                0.83873,                0.64868,                0.98565,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                0.93461,                0.84019,                  1.083,                0.87649,                0.74684,                0.84255,                0.67425,                0.83503,                0.63965,                0.98519,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 0.9384,                0.86026,                 1.1133,                0.87928,                0.75494,                0.85003,                0.68463,                0.83044,                0.63166,                0.98166,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.92341,                0.83547,                 1.0916,                0.88094,                0.75212,                0.85435,                0.68972,                0.82264,                 0.6279,                0.97776,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91769,                0.82685,                 1.0905,                0.89928,                0.75174,                0.85595,                0.68691,                0.82152,                0.62433,                0.97655,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90215,                0.82796,                 1.0886,                0.90744,                0.75419,                0.85854,                0.68962,                0.81737,                0.62201,                0.97486,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 0.9224,                0.81714,                 1.0762,                0.90373,                0.75317,                0.85583,                0.69035,                0.81671,                0.61523,                0.97339,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.92604,                0.83434,                 1.0762,                0.90554,                0.75441,                0.85683,                0.69714,                0.81436,                0.61207,                0.97195,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90689,                0.80276,                 1.0697,                0.89209,                0.75937,                0.85488,                0.69675,                0.81014,                 0.6103,                0.96936,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.85957,                0.77531,                 1.0501,                0.89166,                0.76043,                0.85424,                0.70028,                0.80293,                0.60931,                0.96506,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.92509,                0.82598,                  1.059,                0.85868,                0.77787,                0.85431,                0.70308,                 0.7947,                0.60926,                 0.9616,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.88576,                 0.7975,                 1.0715,                0.89441,                0.76286,                 0.8597,                0.70479,                0.79112,                0.60734,                 0.9608,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.91349,                0.79251,                 1.0588,                0.90285,                0.76415,                0.86052,                0.70642,                0.78837,                0.60194,                0.95996,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.89546,                0.77816,                 1.0783,                0.90458,                0.76599,                0.86159,                0.70583,                 0.7863,                0.59724,                0.95807,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.87921,                0.78551,                  1.059,                0.90745,                0.76467,                0.86452,                0.70612,                0.78597,                0.59105,                0.95666,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.90177,                0.78492,                 1.0585,                0.90128,                 0.7734,                 0.8669,                 0.7066,                0.78564,                0.58716,                0.95477,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.91176,                0.80195,                 1.0704,                0.83001,                0.83013,                0.86898,                0.70691,                0.78368,                0.58676,                0.95324,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.84822,                0.73952,                 1.0455,                0.83663,                0.81284,                0.86975,                 0.7073,                0.78283,                0.58945,                0.95205,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.91747,                  0.757,                 1.0658,                0.83551,                0.82684,                0.87053,                0.71081,                0.78048,                0.58733,                0.95102,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.88954,                0.78935,                 1.0665,                0.84096,                0.82607,                0.86968,                0.71325,                0.77725,                0.58287,                0.94948,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.87885,                 0.7577,                 1.0415,                0.83024,                0.82186,                0.86897,                0.71627,                0.77123,                0.57621,                0.94666,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.93368,                0.80866,                 1.0721,                0.84636,                0.82069,                0.87018,                0.71701,                0.76453,                0.57264,                0.94397,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.86156,                0.73769,                 1.0422,                0.84157,                0.82707,                0.87316,                0.71993,                0.76241,                0.56983,                0.94321,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.87617,                0.75796,                 1.0562,                0.84293,                0.83195,                0.87705,                0.72087,                0.76022,                 0.5636,                0.94214,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     57,                0.84534,                0.75799,                 1.0618,                0.90987,                 0.7807,                0.87449,                0.72175,                0.76219,                0.56058,                0.94324,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     58,                0.87316,                0.71776,                 1.0421,                0.91146,                0.78168,                0.87407,                0.72307,                0.76195,                0.56109,                0.94386,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     59,                0.86609,                0.73978,                 1.0461,                0.91956,                0.78554,                0.87966,                0.72775,                 0.7611,                0.55884,                0.94382,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     60,                0.88098,                  0.753,                 1.0577,                0.91621,                0.78336,                0.87633,                0.72628,                 0.7565,                0.55747,                0.94163,              5.067e-05,              5.067e-05,              5.067e-05
                     61,                0.84462,                0.72969,                 1.0588,                0.91989,                0.78259,                0.87533,                0.72397,                 0.7526,                0.55601,                 0.9398,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     62,                0.87195,                0.73278,                 1.0363,                0.86384,                0.81487,                0.87625,                0.72317,                0.74926,                0.55212,                0.93878,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     63,                0.80975,                0.71535,                 1.0295,                0.88914,                0.80529,                0.87632,                0.72488,                 0.7461,                0.54865,                0.93745,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     64,                0.86896,                0.74617,                 1.0434,                0.91682,                0.79001,                0.87623,                0.72544,                0.74591,                0.54523,                0.93719,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.89495,                0.73088,                 1.0346,                0.91352,                0.79194,                0.87624,                0.72516,                0.74517,                 0.5437,                0.93666,              4.478e-05,              4.478e-05,              4.478e-05
