                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.93786,                0.83318,                 1.0922,                0.86657,                0.73332,                0.83412,                0.66379,                0.84952,                0.64956,                0.99366,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.91393,                0.83071,                 1.0846,                0.88452,                0.72136,                0.83765,                0.67306,                0.84412,                0.64312,                 0.9916,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.95356,                0.84671,                 1.1068,                0.87234,                0.73399,                0.83779,                0.67383,                0.83332,                0.62906,                 0.9877,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                   0.91,                 0.8118,                 1.0672,                0.82227,                0.77279,                0.83996,                0.67401,                0.82528,                0.62137,                0.98369,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.94184,                  0.844,                 1.0891,                0.82865,                0.77013,                0.84275,                0.67597,                0.81623,                0.61563,                0.97983,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.87593,                0.79613,                 1.0656,                 0.8675,                0.74684,                0.84603,                0.67382,                0.81179,                0.61502,                0.97726,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.93587,                0.83994,                 1.0751,                0.85472,                0.75819,                0.84766,                0.67715,                0.80584,                0.61204,                0.97367,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.91585,                0.80095,                 1.0872,                0.84368,                0.78544,                0.85186,                0.68048,                0.79961,                0.60827,                0.96944,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.92259,                0.79698,                 1.1025,                0.85691,                0.78038,                0.85067,                0.67933,                0.79489,                0.59828,                0.96574,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.91562,                0.80817,                 1.0741,                0.85337,                0.78444,                0.85524,                0.68091,                0.79084,                0.58557,                0.96359,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.89079,                0.77912,                 1.0702,                0.88302,                0.76689,                0.85352,                0.68211,                0.79569,                 0.5803,                0.96438,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.90102,                0.77487,                 1.0578,                0.84495,                0.79015,                0.85884,                0.69214,                0.79368,                0.57512,                0.96339,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.90686,                0.74977,                 1.0361,                0.85504,                0.78633,                0.85848,                0.69875,                 0.7881,                0.57384,                0.96028,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.93349,                0.80427,                 1.0604,                0.87255,                0.77257,                0.85439,                0.69314,                0.79718,                0.57586,                0.96182,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.93173,                0.81215,                 1.0614,                0.88426,                0.77121,                 0.8614,                0.69831,                0.80042,                0.57536,                 0.9605,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.91039,                0.74513,                 1.0475,                0.87274,                0.77861,                0.86369,                0.69583,                0.79376,                0.57087,                0.95812,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.86424,                0.72882,                 1.0688,                0.86796,                0.78326,                0.86387,                0.69956,                0.77619,                0.55976,                0.95273,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     50,                0.95122,                0.77859,                 1.0622,                0.86872,                0.78503,                0.86367,                0.70287,                0.76527,                0.54971,                0.94821,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     51,                0.86753,                0.74047,                 1.0332,                0.87343,                0.78764,                0.86443,                0.70677,                0.75538,                0.54591,                0.94351,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     52,                0.87485,                0.73866,                 1.0335,                0.89387,                0.77062,                0.86413,                0.70799,                0.75644,                0.54834,                0.94322,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     53,                0.87742,                0.74875,                 1.0509,                0.89395,                0.77206,                0.86503,                0.71085,                0.75532,                0.54768,                0.94186,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     54,                0.85956,                 0.7404,                 1.0316,                0.90539,                 0.7674,                0.86838,                0.71615,                0.74568,                0.54059,                0.93864,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     55,                0.85653,                0.72383,                 1.0397,                0.87297,                0.78625,                0.87055,                0.71597,                0.73673,                0.53378,                0.93454,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     56,                0.85712,                0.73136,                 1.0664,                 0.8733,                 0.7848,                0.86887,                0.71814,                0.72797,                0.52953,                0.93024,             5.5383e-05,             5.5383e-05,             5.5383e-05
