                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.95703,                0.86308,                 1.1067,                0.84399,                0.69182,                 0.8062,                0.63612,                 0.8858,                0.69644,                 1.0237,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.93787,                0.85973,                 1.0949,                 0.8356,                0.71188,                0.81109,                0.64015,                0.87382,                0.68095,                 1.0163,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.96945,                0.88168,                 1.1144,                0.82062,                0.71438,                0.81478,                0.64831,                0.86492,                0.66655,                 1.0115,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.93495,                0.85367,                 1.0863,                 0.7698,                0.74759,                0.82135,                0.65445,                 0.8524,                0.65495,                 1.0033,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.95876,                0.88366,                 1.1002,                0.75478,                0.77504,                0.83133,                0.66348,                0.84176,                0.64579,                0.99895,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90807,                0.82731,                 1.0834,                0.81701,                0.75804,                0.83545,                0.66402,                 0.8356,                0.63968,                0.99585,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.95335,                0.86996,                 1.0839,                0.83634,                0.74221,                0.83769,                0.67165,                0.83064,                0.63463,                0.99315,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.93495,                 0.8265,                 1.1043,                0.78474,                0.79219,                0.84184,                0.67308,                0.82623,                0.62978,                0.99006,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.94394,                0.84109,                 1.1137,                0.84347,                 0.7697,                0.84125,                  0.677,                0.81793,                0.61969,                0.98598,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.94258,                0.83815,                  1.086,                0.83942,                0.77211,                0.84434,                  0.681,                0.81041,                0.61274,                0.98499,             7.1876e-05,             7.1876e-05,             7.1876e-05
