                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.96561,                0.88642,                 1.1063,                0.81044,                0.71193,                0.80223,                0.60945,                 0.9101,                0.71676,                 1.0398,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.95288,                0.90781,                 1.1046,                 0.8034,                 0.7163,                0.80824,                0.61499,                0.90398,                0.70118,                  1.033,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.98196,                0.94486,                 1.1267,                0.74966,                0.75968,                0.81278,                0.62742,                0.89203,                0.68617,                 1.0251,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                  0.958,                0.88184,                 1.0987,                0.75241,                0.76396,                0.81387,                0.63238,                0.88008,                0.67798,                 1.0163,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.98568,                0.91125,                 1.1154,                0.75752,                0.76714,                 0.8178,                0.63784,                0.87275,                0.66743,                 1.0129,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                  0.925,                0.85694,                 1.0975,                0.85621,                0.71425,                0.82251,                0.64469,                0.85945,                0.66226,                 1.0068,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.97355,                0.90581,                 1.1012,                 0.8615,                0.72452,                0.82742,                 0.6528,                 0.8527,                0.65847,                0.99958,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.96948,                0.86816,                 1.1208,                0.85896,                0.72145,                0.83736,                0.65347,                 0.8495,                0.65717,                0.99704,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.96543,                0.88395,                 1.1354,                0.83464,                0.72929,                0.84107,                0.65347,                0.84401,                0.64663,                0.99473,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95428,                0.88007,                 1.1028,                0.81343,                0.76019,                0.84838,                0.66242,                0.83444,                0.63044,                0.99151,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.93105,                0.84572,                 1.0921,                0.86689,                0.73116,                0.84878,                0.66397,                  0.832,                0.62141,                 0.9908,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.94812,                0.84035,                 1.0843,                0.85803,                 0.7377,                0.85197,                 0.6704,                0.82989,                 0.6253,                0.99038,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.94196,                0.80615,                 1.0586,                 0.8346,                0.76891,                0.85339,                0.66847,                0.82928,                0.63275,                0.99051,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.96114,                0.85652,                 1.0776,                0.87089,                0.76472,                0.85654,                0.67312,                0.83567,                 0.6258,                0.99178,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.97497,                0.85503,                 1.0853,                0.87458,                0.75685,                 0.8563,                0.67349,                0.82936,                0.61964,                0.99141,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.94673,                0.78926,                 1.0698,                 0.8168,                 0.7942,                0.86001,                0.67552,                0.81269,                0.60606,                0.98291,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     49,                0.88965,                0.78445,                  1.093,                0.81798,                0.80043,                0.85359,                0.68002,                 0.8063,                0.58994,                0.97787,             6.3629e-05,             6.3629e-05,             6.3629e-05
