                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0005,                0.89647,                 1.1324,                0.84831,                0.68379,                0.80049,                0.60897,                 0.9297,                0.71632,                  1.054,             7.9675e-05,             7.9675e-05,             7.9675e-05
                     34,                0.97677,                0.90198,                 1.1225,                0.81088,                 0.7045,                0.80336,                0.61547,                0.92048,                0.70494,                 1.0472,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                 1.0077,                0.94052,                 1.1359,                0.80533,                0.71141,                0.80553,                 0.6235,                0.91441,                0.69027,                  1.042,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.98502,                0.88241,                 1.1121,                0.81534,                0.70779,                0.80925,                0.62767,                0.90584,                0.68201,                 1.0368,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                 1.0115,                0.91367,                 1.1285,                0.78756,                 0.7395,                0.81452,                0.63242,                0.89298,                0.67456,                 1.0328,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.94676,                0.85238,                 1.1109,                0.86586,                0.70154,                0.81999,                 0.6388,                 0.8832,                0.66609,                 1.0272,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                0.99998,                0.89043,                 1.1127,                0.87589,                  0.707,                0.82337,                0.64801,                0.87293,                0.65938,                 1.0201,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 0.9727,                0.86143,                 1.1288,                0.88965,                0.70369,                0.82768,                0.65244,                0.86979,                0.65242,                  1.012,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.97611,                0.87981,                 1.1357,                0.76279,                0.78742,                 0.8256,                0.65032,                0.86608,                0.63938,                 1.0082,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.98684,                0.88933,                 1.1147,                0.83541,                0.74954,                0.82849,                0.65538,                0.85691,                0.63444,                 1.0065,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                 0.9413,                0.85376,                 1.1011,                0.85038,                0.74516,                0.82802,                 0.6514,                0.85167,                0.63178,                 1.0054,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.94643,                0.81804,                 1.0864,                0.82899,                0.75805,                0.83221,                0.65396,                0.84449,                0.62789,                 1.0012,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.96737,                0.80972,                 1.0731,                0.86546,                0.76101,                0.83363,                0.66215,                0.84484,                  0.627,                 0.9973,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                 1.0008,                0.87576,                 1.1011,                0.85859,                0.76623,                 0.8354,                0.65795,                0.85565,                0.62757,                 1.0013,             6.7164e-05,             6.7164e-05,             6.7164e-05
